観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの8月の1位の値(mm),昨日までの8月の1位の値の品質情報,昨日までの8月の1位の値の年,昨日までの8月の1位の値の月,昨日までの8月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,150.0,8,2020,08,07,150.0,8,2020,08,07,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2023,08,30,15,20,0.0,8,0.0,4,,,,,,195.5,8,2016,09,06,173.0,8,2014,08,24,1976
11046,北海道 宗谷地方,礼文（レブン）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,183.0,8,2014,08,24,183.0,8,2014,08,24,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2023,08,30,15,20,0.0,4,0.0,4,,,,,,157.0,8,2016,09,06,135.0,8,2014,08,24,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,141.0,8,2015,07,14,120,8,1981,08,05,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,176.5,8,2016,09,06,158.0,8,2020,08,07,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,111.0,8,2020,08,07,111.0,8,2020,08,07,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,168.0,8,2016,09,06,114,8,2003,08,08,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,129.5,8,2014,08,24,129.5,8,2014,08,24,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,118,8,1981,08,06,118,8,1981,08,06,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,139.0,8,2015,10,09,126.0,8,2014,08,05,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2023,08,30,15,20,0.0,8,0.0,4,,,,,,154.0,8,2015,10,09,123,8,1981,08,05,1976
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,170,8,1979,10,20,132.5,8,2014,08,24,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,129.0,8,2014,08,24,129.0,8,2014,08,24,2006
12011,北海道 上川地方,中川（ナカガワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,167.0,8,2022,08,09,167.0,8,2022,08,09,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,158.0,8,2022,08,09,158.0,8,2022,08,09,1978
12066,北海道 上川地方,小車（オグルマ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,159,8,2006,10,08,146.5,8,2014,08,05,2006
12141,北海道 上川地方,美深（ビフカ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,151.5,8,2014,08,05,151.5,8,2014,08,05,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,153.5,8,2014,08,05,153.5,8,2014,08,05,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,160.0,8,2014,08,05,160.0,8,2014,08,05,2006
12231,北海道 上川地方,下川（シモカワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,192,8,1981,08,04,192,8,1981,08,04,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,147.0,8,2011,09,03,145.5,8,2016,08,21,2006
12261,北海道 上川地方,士別（シベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,167,8,1981,08,04,167,8,1981,08,04,1976
12266,北海道 上川地方,朝日（アサヒ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,179,8,1981,08,04,179,8,1981,08,04,1976
12301,北海道 上川地方,和寒（ワッサム）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,163,8,1981,08,05,163,8,1981,08,05,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,167,8,2000,09,02,161,4,1988,08,26,1977
12396,北海道 上川地方,比布（ピップ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,154,4,1981,08,05,154,4,1981,08,05,1976
12411,北海道 上川地方,上川（カミカワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,146.5,8,2016,08,21,146.5,8,2016,08,21,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2023,08,30,15,20,0.0,8,0.0,4,,,,,,168,8,1981,08,04,168,8,1981,08,04,1976
12451,北海道 上川地方,東川（ヒガシカワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,144.5,8,2016,08,21,144.5,8,2016,08,21,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2023,08,30,15,20,1.5,8,1.5,4,15,20,8,,,151.0,8,2011,09,03,138,8,2005,08,22,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2023,08,30,15,20,0.5,8,0.5,4,15,20,8,,,198,4,1981,08,06,198,4,1981,08,06,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2023,08,30,15,20,0.5,8,0.5,4,15,20,8,,,134.0,8,2018,07,03,126.5,8,2016,08,21,2003
12512,北海道 上川地方,志比内（シビナイ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,151.0,8,2011,09,03,139,8,1994,08,13,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,149,4,1981,08,05,149,4,1981,08,05,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,212,4,1981,08,05,212,4,1981,08,05,1977
12607,北海道 上川地方,白金（シロガネ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,191.0,8,2016,08,23,191.0,8,2016,08,23,1984
12626,北海道 上川地方,富良野（フラノ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,196,4,1981,08,06,196,4,1981,08,06,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,175,8,1981,08,06,175,8,1981,08,06,1978
12686,北海道 上川地方,金山（カナヤマ）,,2023,08,30,15,20,4.5,8,4.5,4,15,20,8,,,158,8,2006,08,19,158,8,2006,08,19,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2023,08,30,15,20,0.5,8,0.5,4,15,20,8,,,210,8,2001,09,11,209,8,2006,08,19,1977
12746,北海道 上川地方,占冠（シムカップ）,,2023,08,30,15,20,1.0,8,1.0,4,15,20,8,,,243,8,2003,08,10,243,8,2003,08,10,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,197.5,8,2014,08,05,197.5,8,2014,08,05,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,228,8,1988,08,26,228,8,1988,08,26,1976
13061,北海道 留萌地方,天塩（テシオ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,146.5,8,2014,08,24,146.5,8,2014,08,24,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,219.0,8,2022,08,09,219.0,8,2022,08,09,1976
13121,北海道 留萌地方,初山別（ショサンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,157.0,8,2022,08,09,157.0,8,2022,08,09,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,179,8,1982,08,22,179,8,1982,08,22,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2023,08,30,15,20,0.0,8,0.0,4,,,,,,159.5,8,2014,08,05,159.5,8,2014,08,05,1976
13206,北海道 留萌地方,古丹別（コタンベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,148,8,2000,09,02,142.0,8,2014,08,05,1976
13261,北海道 留萌地方,達布（タップ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,182,8,1988,08,26,182,8,1988,08,26,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2023,08,30,15,20,0.0,8,0.0,4,,,,,,146.0,8,2018,07,03,142,8,1981,08,05,1976
13311,北海道 留萌地方,増毛（マシケ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,140.0,8,2011,09,03,137,8,1981,08,05,1976
13321,北海道 留萌地方,幌糠（ホロヌカ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,250,4,1988,08,26,250,4,1988,08,26,1977
14026,北海道 石狩地方,浜益（ハママス）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,182.5,8,2011,09,03,146,8,1981,08,05,1977
14071,北海道 石狩地方,厚田（アツタ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,194,8,1981,08,05,194,8,1981,08,05,1977
14101,北海道 石狩地方,新篠津（シンシノツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,180,8,1981,08,05,180,8,1981,08,05,1976
14116,北海道 石狩地方,山口（ヤマグチ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,193,8,1981,08,05,193,8,1981,08,05,1976
14121,北海道 石狩地方,石狩（イシカリ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,122,8,2001,09,11,106.0,8,2010,08,24,1990
14136,北海道 石狩地方,江別（エベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,127.0,8,2016,08,17,127.0,8,2016,08,17,2000
14157,北海道 石狩地方,手稲山（テイネヤマ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,153.5,8,2011,09,06,107.0,8,2016,08,17,2010
14163,北海道 石狩地方,札幌（サッポロ）,47412,2023,08,30,15,20,0.0,8,0.0,4,,,,,,220,8,1981,08,23,220,8,1981,08,23,1976
14191,北海道 石狩地方,小金湯（コガネユ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,277,8,1981,08,23,277,8,1981,08,23,1976
14206,北海道 石狩地方,恵庭島松（エニワシママツ）,,2023,08,30,15,20,1.5,8,1.5,4,15,20,8,,,264,8,1981,08,05,264,8,1981,08,05,1976
14286,北海道 石狩地方,支笏湖畔（シコツコハン）,,2023,08,30,15,20,3.5,8,3.5,4,15,20,8,,,280.0,8,2014,09,11,274,8,2001,08,23,1976
14296,北海道 石狩地方,千歳（チトセ）,,2023,08,30,15,20,1.5,8,1.5,4,15,20,8,,,213.5,8,2014,09,12,154,4,2005,08,22,2003
15116,北海道 空知地方,石狩沼田（イシカリヌマタ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,422,8,1988,08,26,422,8,1988,08,26,1976
15156,北海道 空知地方,秩父別（チップベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,77.5,8,2023,08,06,77.5,8,2023,08,06,2022
15161,北海道 空知地方,深川（フカガワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,201,8,1981,08,05,201,8,1981,08,05,1976
15197,北海道 空知地方,雨竜（ウリュウ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,150.5,8,2011,09,03,147.0,8,2019,08,09,2006
15216,北海道 空知地方,新城（シンジョウ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,184,8,1988,08,26,184,8,1988,08,26,1984
15231,北海道 空知地方,空知吉野（ソラチヨシノ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,221,8,1988,08,26,221,8,1988,08,26,1978
15241,北海道 空知地方,滝川（タキカワ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,198,8,1981,08,05,198,8,1981,08,05,1976
15247,北海道 空知地方,赤平（アカビラ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,175.0,8,2016,08,21,175.0,8,2016,08,21,2006
15251,北海道 空知地方,芦別（アシベツ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,195,8,1981,08,05,195,8,1981,08,05,1976
15276,北海道 空知地方,浦臼（ウラウス）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,159,8,1988,08,26,159,8,1988,08,26,1983
15311,北海道 空知地方,月形（ツキガタ）,,2023,08,30,15,20,0.0,8,0.0,4,,,,,,166,8,1981,08,05,166,8,1981,08,05,1976
